,GDP (current US$),GNI per capita,Industry (% of GDP),Manufacturing (% of GDP),Foreign direct investment (% of GDP),"Population, total",Urban population (% of total),Population growth (annual %),Energy use (kg of oil equivalent per capita),Electric power consumption (kWh per capita),Access to electricity (% of population),Fossil fuel energy consumption (% of total),Individuals using the Internet (% of population),Mobile cellular subscriptions (per 100 people),PM2.5 air pollution (micrograms per cubic meter),CO2 emissions (metric tons per capita),Total greenhouse gas emissions (per capita),Demand (TWh),Country
2023-12-31,17424309426.566833,34234.056744035195,69.23490227537854,13.318694678533241,-1.5574063258546769,456393.752246365,78.99995224227713,0.5634532126346079,9388.440671745304,10099.847798964916,100.0,99.99590954131304,106.49172678343831,123.09639574010495,6.847118493328635,27.807731905988966,32.758057280481424,5.5209040915182035,Brunei
2024-12-31,23579565309.34665,40292.91532386138,79.06770951373005,11.13399695426232,-3.0142748979056413,455752.3944168307,79.03864985219082,0.48748413038305216,9943.23258624153,10127.8079223877,100.0,99.99565217340695,111.50435759867526,149.74195784899672,6.703787408434934,26.456914928435157,30.122047450500432,4.957357478649845,Brunei
2025-12-31,30986393762.940834,50732.267606679074,90.54132531493543,7.986480902068582,-3.1214430090734875,456225.7480794527,79.07897691905127,0.6097660608767781,12767.457665226615,9917.806562302716,100.0,99.9961646089006,109.84658167081628,150.23560045025818,6.808161277303528,30.10982558974463,38.38193995871374,4.518226134913171,Brunei
2026-12-31,26282330465.85887,57708.92489628571,79.46237758799101,6.189277370115394,-0.7127349777559933,456715.2438533446,79.05673261878994,0.7591362268322843,12570.956607171214,10046.514101910481,100.0,99.9979870282993,109.57017103289121,173.18970964960766,6.026022292993963,33.55949904424716,42.232256606618805,4.579176712348543,Brunei
2027-12-31,26383683350.42293,59710.61321208081,76.42503270549629,2.8412433261975316,-0.32322849783014806,459760.8601986966,79.10054572002716,1.180997235243584,11262.789294690012,10067.544592418753,100.0,99.99652180988582,110.20850087670104,197.3891244405499,5.59320352335954,27.231848242322158,35.09981005374763,4.636429675516572,Brunei
2028-12-31,28955843354.735294,57691.398960679086,77.51453454868262,1.5623791802345162,2.7578680256863826,466095.1846131932,79.26361996360211,1.544407621420816,13518.166619201818,9682.311662216558,100.0,99.99483383658709,104.40818176513753,181.48032887716545,6.059167805607458,26.847208443156532,37.42141110262702,4.466617577608147,Brunei
2029-12-31,22706494930.030327,55594.9476439734,63.442531265517395,1.6434837133196951,3.8634894812451277,472369.0712067434,79.44480544708841,1.503912092796188,12213.42686638416,9759.202788299775,100.0,99.9936547126288,104.117778641358,192.31438331878311,6.268211774682815,22.074604751583045,29.638235401531205,4.558338247382845,Brunei
2030-12-31,25126627267.278065,54844.445218511566,64.17480785847117,0.18791835942601187,3.249227789315907,479117.5860742935,79.70498861033784,1.411167348349569,9461.136802053918,10141.549411324499,100.0,99.98896115619424,112.16360911124954,191.34908126492525,7.332965440463186,15.109351570788904,19.983415533984115,5.165022014676517,Brunei
2031-12-31,28191474271.23879,53493.98386123956,68.42655840888845,1.8106131520167057,8.6054966849481,485594.2441895881,80.01257663196381,1.1427901238093667,11208.915153398479,10644.99199628254,100.0,99.9877169293898,109.65193094413154,157.38713654478155,8.685806100931313,18.38173548982342,24.16031358367844,5.528401553467706,Brunei
2032-12-31,20540467963.01352,52299.82668457416,56.864434555096466,2.948128556297345,5.434908987424615,489754.60457013303,80.29500396163681,0.6996291471731717,8792.602016973242,11480.488617376555,100.0,99.98794829036899,107.00076603452703,157.5981404225015,9.328073576863593,13.737611640140123,16.433944908926286,5.688967468086373,Brunei
2033-12-31,17923204407.092087,46940.138971221066,52.539828413822036,3.0868968801538608,-1.1398156392700116,493545.2514345498,80.61724997805663,0.4927537484481742,7108.2661743384015,12118.046497045185,100.0,99.98709877104149,125.13603013180166,144.88795725701024,10.054880322631366,12.233603519143875,14.20735035997304,6.334406053801494,Brunei
2034-12-31,12579208325.105347,34946.99175296045,47.10488725604604,6.90055424302891,4.2857864089321795,496251.6310309781,80.89840226824191,0.3078203215536355,9116.145644258366,12320.321252833051,100.0,99.9899210832137,133.16211802313646,124.89177960418706,9.201411968774766,20.114523588230714,23.304270320655867,6.166993374669413,Brunei
2035-12-31,7564246278.564999,24653.24566808859,43.80538509522161,7.241032949087661,-1.4323589581938383,497497.40991322754,81.13063533566483,0.15714929233579888,7527.858064251554,12297.952421586087,100.0,99.9917991839774,142.13423545677477,155.333016040277,8.46923791533659,15.22748730932198,16.305490147932247,5.347140902275927,Brunei
