country_code,country_name,year,PM2.5 air pollution (micrograms per cubic meter)
,,2024,17.8814994983985
,,2025,17.8814994983985
,,2026,17.8814994983985
,,2027,17.8814994983985
,,2028,17.8814994983985
,,2029,17.8814994983985
,,2030,17.8814994983985
,,2031,17.8814994983985
,,2032,17.8814994983985
,,2033,17.8814994983985
,,2034,17.8814994983985
,,2035,17.8814994983985
KHM,Cambodia,2000,29.7987214798005
KHM,Cambodia,2001,29.9057244650667
KHM,Cambodia,2002,30.0191592913356
KHM,Cambodia,2003,30.098509540539
KHM,Cambodia,2004,30.1032587946087
KHM,Cambodia,2005,29.9928906354765
KHM,Cambodia,2006,29.6130476724133
KHM,Cambodia,2007,28.8642622907811
KHM,Cambodia,2008,27.7883527366484
KHM,Cambodia,2009,26.427137256084
KHM,Cambodia,2010,24.8224340951565
KHM,Cambodia,2011,21.6807107694691
KHM,Cambodia,2012,22.9965791117395
KHM,Cambodia,2013,25.7785023524529
KHM,Cambodia,2014,22.1052880421246
KHM,Cambodia,2015,21.599028896344
KHM,Cambodia,2016,22.4071810127085
KHM,Cambodia,2017,20.7075312769695
KHM,Cambodia,2018,22.9919425508182
KHM,Cambodia,2019,22.9738017157091
KHM,Cambodia,2020,24.1436022803452
,,2021,24.1436022803452
,,2022,24.1436022803452
,,2023,24.1436022803452
,,2024,24.1436022803452
,,2025,24.1436022803452
,,2026,24.1436022803452
,,2027,24.1436022803452
,,2028,24.1436022803452
,,2029,24.1436022803452
,,2030,24.1436022803452
,,2031,24.1436022803452
,,2032,24.1436022803452
,,2033,24.1436022803452
,,2034,24.1436022803452
,,2035,24.1436022803452
LAO,Lao PDR,2000,28.820009114765
LAO,Lao PDR,2001,28.8274106843826
LAO,Lao PDR,2002,28.8952739905149
LAO,Lao PDR,2003,28.9554957475365
LAO,Lao PDR,2004,28.9399726698219
LAO,Lao PDR,2005,28.7806014717458
LAO,Lao PDR,2006,28.4053138984033
LAO,Lao PDR,2007,27.7775269837477
LAO,Lao PDR,2008,26.8823653754409
LAO,Lao PDR,2009,25.7049537211446
LAO,Lao PDR,2010,24.2304166685204
LAO,Lao PDR,2011,20.5789011650413
LAO,Lao PDR,2012,22.4365696992954
LAO,Lao PDR,2013,24.2423626108046
LAO,Lao PDR,2014,21.3928997917018
LAO,Lao PDR,2015,20.1670988613747
LAO,Lao PDR,2016,22.463787282601
LAO,Lao PDR,2017,19.1515982168711
LAO,Lao PDR,2018,20.9840690040935
LAO,Lao PDR,2019,22.4289603771825
LAO,Lao PDR,2020,22.3176670505669
,,2021,22.3176670505669
,,2022,22.3176670505669
,,2023,22.3176670505669
,,2024,22.3176670505669
,,2025,22.3176670505669
,,2026,22.3176670505669
,,2027,22.3176670505669
,,2028,22.3176670505669
,,2029,22.3176670505669
,,2030,22.3176670505669
,,2031,22.3176670505669
,,2032,22.3176670505669
,,2033,22.3176670505669
,,2034,22.3176670505669
,,2035,22.3176670505669
MMR,Myanmar,2000,39.5272329221873
MMR,Myanmar,2001,39.7428390610683
MMR,Myanmar,2002,40.1768875885917
MMR,Myanmar,2003,40.6510344092112
MMR,Myanmar,2004,40.9869354273807
MMR,Myanmar,2005,41.0062465475539
MMR,Myanmar,2006,40.5461049761885
MMR,Myanmar,2007,39.5962241482972
MMR,Myanmar,2008,38.2071243111665
MMR,Myanmar,2009,36.4293257120831
MMR,Myanmar,2010,34.3133485983332
MMR,Myanmar,2011,29.4854398392347
MMR,Myanmar,2012,33.179223857355
MMR,Myanmar,2013,35.1664986630794
MMR,Myanmar,2014,31.2218892689358
MMR,Myanmar,2015,29.9150539220144
MMR,Myanmar,2016,31.1703866445543
MMR,Myanmar,2017,28.1336717956987
MMR,Myanmar,2018,31.5559916967562
MMR,Myanmar,2019,32.1642279603857
MMR,Myanmar,2020,32.3150340028667
,,2021,32.3150340028667
,,2022,32.3150340028667
,,2023,32.3150340028667
,,2024,32.3150340028667
,,2025,32.3150340028667
,,2026,32.3150340028667
,,2027,32.3150340028667
,,2028,32.3150340028667
,,2029,32.3150340028667
,,2030,32.3150340028667
,,2031,32.3150340028667
,,2032,32.3150340028667
,,2033,32.3150340028667
,,2034,32.3150340028667
,,2035,32.3150340028667
MYS,Malaysia,2000,23.5136706210687
MYS,Malaysia,2001,23.3307924792576
MYS,Malaysia,2002,23.2129752557118
MYS,Malaysia,2003,23.1072146751735
MYS,Malaysia,2004,22.9605064623849
MYS,Malaysia,2005,22.7198463420882
MYS,Malaysia,2006,22.1459745460658
MYS,Malaysia,2007,21.1584955616188
MYS,Malaysia,2008,19.9427014967672
MYS,Malaysia,2009,18.6838844595312
MYS,Malaysia,2010,17.5673365579308
MYS,Malaysia,2011,16.5543727413676
MYS,Malaysia,2012,17.9101382186238
MYS,Malaysia,2013,18.7954198873143
MYS,Malaysia,2014,17.1052502297433
MYS,Malaysia,2015,16.9297330913892
MYS,Malaysia,2016,16.3864419259472
MYS,Malaysia,2017,14.9450075810201
MYS,Malaysia,2018,16.6541753286852
MYS,Malaysia,2019,17.8197510834605
MYS,Malaysia,2020,16.1938532237922
,,2021,16.1938532237922
,,2022,16.1938532237922
,,2023,16.1938532237922
,,2024,16.1938532237922
,,2025,16.1938532237922
,,2026,16.1938532237922
,,2027,16.1938532237922
,,2028,16.1938532237922
,,2029,16.1938532237922
,,2030,16.1938532237922
,,2031,16.1938532237922
,,2032,16.1938532237922
,,2033,16.1938532237922
,,2034,16.1938532237922
,,2035,16.1938532237922
PHL,Philippines,2000,31.5189595125717
PHL,Philippines,2001,31.2923190881475
PHL,Philippines,2002,31.05570387518
PHL,Philippines,2003,30.7743493607566
PHL,Philippines,2004,30.4134910319648
PHL,Philippines,2005,29.9383643758918
PHL,Philippines,2006,29.1782265763242
PHL,Philippines,2007,28.0341722365094
PHL,Philippines,2008,26.5791929727268
PHL,Philippines,2009,24.8862804012556
PHL,Philippines,2010,23.0284261383751
PHL,Philippines,2011,20.2762007200701
PHL,Philippines,2012,21.8351961883251
PHL,Philippines,2013,22.7402636854564
PHL,Philippines,2014,20.3368824432152
PHL,Philippines,2015,19.7079275985218
PHL,Philippines,2016,19.9069716374648
PHL,Philippines,2017,18.3327018141416
PHL,Philippines,2018,20.5885077839401
PHL,Philippines,2019,21.5254371973976
PHL,Philippines,2020,20.2887417122616
,,2021,20.2887417122616
,,2022,20.2887417122616
,,2023,20.2887417122616
,,2024,20.2887417122616
,,2025,20.2887417122616
,,2026,20.2887417122616
,,2027,20.2887417122616
,,2028,20.2887417122616
,,2029,20.2887417122616
,,2030,20.2887417122616
,,2031,20.2887417122616
,,2032,20.2887417122616
,,2033,20.2887417122616
,,2034,20.2887417122616
,,2035,20.2887417122616
SGP,Singapore,2000,19.7999719213474
SGP,Singapore,2001,19.3142628589039
SGP,Singapore,2002,18.5842525658608
SGP,Singapore,2003,17.7392806593529
SGP,Singapore,2004,16.908686756515
SGP,Singapore,2005,16.221810474482
SGP,Singapore,2006,15.6032041493169
SGP,Singapore,2007,14.9552764832534
SGP,Singapore,2008,14.3741516426824
SGP,Singapore,2009,13.9559537939949
SGP,Singapore,2010,13.796807103582
SGP,Singapore,2011,15.5030932335334
SGP,Singapore,2012,16.9223599271481
SGP,Singapore,2013,18.076662563077
SGP,Singapore,2014,17.2816885850335
SGP,Singapore,2015,17.1833032960407
SGP,Singapore,2016,15.900294890346
SGP,Singapore,2017,16.0768840541767
SGP,Singapore,2018,15.9768571619193
SGP,Singapore,2019,17.0759063187283
SGP,Singapore,2020,13.8691955865476
,,2021,13.8691955865476
,,2022,13.8691955865476
,,2023,13.8691955865476
,,2024,13.8691955865476
,,2025,13.8691955865476
,,2026,13.8691955865476
,,2027,13.8691955865476
,,2028,13.8691955865476
,,2029,13.8691955865476
,,2030,13.8691955865476
,,2031,13.8691955865476
,,2032,13.8691955865476
,,2033,13.8691955865476
,,2034,13.8691955865476
,,2035,13.8691955865476
THA,Thailand,2000,40.3912275638682
THA,Thailand,2001,40.3506543167023
THA,Thailand,2002,40.4326952705377
THA,Thailand,2003,40.5281267680848
THA,Thailand,2004,40.5277251520537
THA,Thailand,2005,40.3222667651549
THA,Thailand,2006,39.7521062500821
THA,Thailand,2007,38.7509301612035
THA,Thailand,2008,37.3495127087413
THA,Thailand,2009,35.5786281029176
THA,Thailand,2010,33.4690505539545
THA,Thailand,2011,29.0591951880929
THA,Thailand,2012,31.5886298984382
THA,Thailand,2013,34.4883511418629
THA,Thailand,2014,29.9705384622081
THA,Thailand,2015,28.1544413826202
THA,Thailand,2016,30.3985996204755
THA,Thailand,2017,27.1006744719071
THA,Thailand,2018,30.0080973964844
THA,Thailand,2019,30.382756547172
THA,Thailand,2020,31.0072016277159
,,2021,31.0072016277159
,,2022,31.0072016277159
,,2023,31.0072016277159
,,2024,31.0072016277159
,,2025,31.0072016277159
,,2026,31.0072016277159
,,2027,31.0072016277159
,,2028,31.0072016277159
,,2029,31.0072016277159
,,2030,31.0072016277159
,,2031,31.0072016277159
,,2032,31.0072016277159
,,2033,31.0072016277159
,,2034,31.0072016277159
,,2035,31.0072016277159
VNM,Vietnam,2000,27.2332642563715
VNM,Vietnam,2001,27.2724542389611
VNM,Vietnam,2002,27.3729160568005
VNM,Vietnam,2003,27.4669078615838
VNM,Vietnam,2004,27.4866878050048
VNM,Vietnam,2005,27.3645140387577
VNM,Vietnam,2006,27.0007597054278
VNM,Vietnam,2007,26.3605983485498
VNM,Vietnam,2008,25.4734887212418
VNM,Vietnam,2009,24.3688895766214
VNM,Vietnam,2010,23.0762596678067
VNM,Vietnam,2011,20.4905765848944
VNM,Vietnam,2012,21.5116439458873
VNM,Vietnam,2013,23.2274925075316
VNM,Vietnam,2014,20.4035064934273
VNM,Vietnam,2015,19.377014054477
VNM,Vietnam,2016,20.3304456216218
VNM,Vietnam,2017,18.5797797556674
VNM,Vietnam,2018,20.1630176303186
VNM,Vietnam,2019,20.8317868906878
VNM,Vietnam,2020,20.8010641731194
,,2021,20.8010641731194
,,2022,20.8010641731194
,,2023,20.8010641731194
,,2024,20.8010641731194
,,2025,20.8010641731194
,,2026,20.8010641731194
,,2027,20.8010641731194
,,2028,20.8010641731194
,,2029,20.8010641731194
,,2030,20.8010641731194
,,2031,20.8010641731194
,,2032,20.8010641731194
,,2033,20.8010641731194
,,2034,20.8010641731194
,,2035,20.8010641731194
