country_code,country_name,year,Energy imports (% of energy use)
,,2022,-5.50502894059521
,,2023,-5.50502894059521
,,2024,-5.50502894059521
,,2025,-5.50502894059521
,,2026,-5.50502894059521
,,2027,-5.50502894059521
,,2028,-5.50502894059521
,,2029,-5.50502894059521
,,2030,-5.50502894059521
,,2031,-5.50502894059521
,,2032,-5.50502894059521
,,2033,-5.50502894059521
,,2034,-5.50502894059521
,,2035,-5.50502894059521
PHL,Philippines,2000,51.1164465498128
PHL,Philippines,2001,52.029448462618
PHL,Philippines,2002,48.206693529935
PHL,Philippines,2003,47.0869141582647
PHL,Philippines,2004,46.162087307456
PHL,Philippines,2005,44.9314336557144
PHL,Philippines,2006,44.5371195770904
PHL,Philippines,2007,42.7132748236556
PHL,Philippines,2008,42.7193782569615
PHL,Philippines,2009,38.5416053995477
PHL,Philippines,2010,41.7086473654964
PHL,Philippines,2011,40.9232733793136
PHL,Philippines,2012,41.8019156799092
PHL,Philippines,2013,45.3248865999998
PHL,Philippines,2014,45.7680030829921
,,2015,45.7680030829921
,,2016,45.7680030829921
,,2017,45.7680030829921
,,2018,45.7680030829921
,,2019,45.7680030829921
,,2020,45.7680030829921
,,2021,45.7680030829921
,,2022,45.7680030829921
,,2023,45.7680030829921
,,2024,45.7680030829921
,,2025,45.7680030829921
,,2026,45.7680030829921
,,2027,45.7680030829921
,,2028,45.7680030829921
,,2029,45.7680030829921
,,2030,45.7680030829921
,,2031,45.7680030829921
,,2032,45.7680030829921
,,2033,45.7680030829921
,,2034,45.7680030829921
,,2035,45.7680030829921
SGP,Singapore,2000,98.9178093257436
SGP,Singapore,2001,98.1682125594019
SGP,Singapore,2002,98.1562254523666
SGP,Singapore,2003,98.404252408056
SGP,Singapore,2004,98.7137424288612
SGP,Singapore,2005,98.172203063037
SGP,Singapore,2006,98.302365849048
SGP,Singapore,2007,98.1287043989523
SGP,Singapore,2008,98.2467607800251
SGP,Singapore,2009,97.9328422483174
SGP,Singapore,2010,97.6880328585997
SGP,Singapore,2011,97.7014427633591
SGP,Singapore,2012,97.6089951637979
SGP,Singapore,2013,97.5551670519087
SGP,Singapore,2014,97.6820012924571
,,2015,97.6820012924571
,,2016,97.6820012924571
,,2017,97.6820012924571
,,2018,97.6820012924571
,,2019,97.6820012924571
,,2020,97.6820012924571
,,2021,97.6820012924571
,,2022,97.6820012924571
,,2023,97.6820012924571
,,2024,97.6820012924571
,,2025,97.6820012924571
,,2026,97.6820012924571
,,2027,97.6820012924571
,,2028,97.6820012924571
,,2029,97.6820012924571
,,2030,97.6820012924571
,,2031,97.6820012924571
,,2032,97.6820012924571
,,2033,97.6820012924571
,,2034,97.6820012924571
,,2035,97.6820012924571
THA,Thailand,2000,39.2024795179426
THA,Thailand,2001,42.0317324965658
THA,Thailand,2002,44.1122963334106
THA,Thailand,2003,44.6532296781099
THA,Thailand,2004,46.7614104844669
THA,Thailand,2005,44.2573813265739
THA,Thailand,2006,43.2014830917299
THA,Thailand,2007,42.5213978768523
THA,Thailand,2008,39.4074865963685
THA,Thailand,2009,39.9980873026562
THA,Thailand,2010,40.106779445485
THA,Thailand,2011,41.6536780107286
THA,Thailand,2012,40.214532863582
THA,Thailand,2013,42.4731829821318
THA,Thailand,2014,41.5681517414252
,,2015,41.5681517414252
,,2016,41.5681517414252
,,2017,41.5681517414252
,,2018,41.5681517414252
,,2019,41.5681517414252
,,2020,41.5681517414252
,,2021,41.5681517414252
,,2022,41.5681517414252
,,2023,41.5681517414252
,,2024,41.5681517414252
,,2025,41.5681517414252
,,2026,41.5681517414252
,,2027,41.5681517414252
,,2028,41.5681517414252
,,2029,41.5681517414252
,,2030,41.5681517414252
,,2031,41.5681517414252
,,2032,41.5681517414252
,,2033,41.5681517414252
,,2034,41.5681517414252
,,2035,41.5681517414252
VNM,Vietnam,2000,-38.9160353951234
VNM,Vietnam,2001,-36.3335198640167
VNM,Vietnam,2002,-33.3172614259211
VNM,Vietnam,2003,-30.3163745821006
VNM,Vietnam,2004,-47.7527735517732
VNM,Vietnam,2005,-47.2893012060121
VNM,Vietnam,2006,-46.523327446109
VNM,Vietnam,2007,-38.8398064130833
VNM,Vietnam,2008,-26.4517157494904
VNM,Vietnam,2009,-25.2350445829429
VNM,Vietnam,2010,-12.6903585180516
VNM,Vietnam,2011,-15.9655986015537
VNM,Vietnam,2012,-15.7343261457658
VNM,Vietnam,2013,-15.1058744822691
,,2014,-15.1058744822691
,,2015,-15.1058744822691
,,2016,-15.1058744822691
,,2017,-15.1058744822691
,,2018,-15.1058744822691
,,2019,-15.1058744822691
,,2020,-15.1058744822691
,,2021,-15.1058744822691
,,2022,-15.1058744822691
,,2023,-15.1058744822691
,,2024,-15.1058744822691
,,2025,-15.1058744822691
,,2026,-15.1058744822691
,,2027,-15.1058744822691
,,2028,-15.1058744822691
,,2029,-15.1058744822691
,,2030,-15.1058744822691
,,2031,-15.1058744822691
,,2032,-15.1058744822691
,,2033,-15.1058744822691
,,2034,-15.1058744822691
,,2035,-15.1058744822691
